7,0.423,12.132
4,4.779,22.701
8,6.201,39.957
5,0.156,9.333
8,6.471,42.426
6,3.211,17.822
4,5.473,27.569
6,2.142,13.562
3,7.543,43.978
5,5.719,30.548
5,3.913,19.106
3,4.083,17.171
5,3.413,17.264
6,3.561,19.128
8,4.378,26.532
8,3.977,25.133
8,2.262,17.705
3,1.407,6.623
6,3.606,19.59
3,4.274,17.672
4,3.635,16.517
6,7.909,53.018
8,6.08,38.49
7,6.533,41.358
4,4.41,20.348
7,7.451,49.544
3,6.063,29.889
7,0.13,12.591
4,2.966,13.119
7,6.376,40.024
8,7.641,53.359
3,6.335,32.357
8,7.591,53.158
5,1.557,10.429
6,6.703,40.602
3,0.55,6.185
4,3.797,16.703
4,1.395,8.92
4,2.438,10.844
4,7.163,41.444
3,0.805,6.349
6,2.754,15.725
3,6.198,31.236
3,5.635,26.882
7,0.309,12.027
7,7.649,51.583
3,0.803,6.217
8,0.932,15.038
8,3.919,24.451
8,7.468,51.343
3,4.869,21.379
8,1.982,16.461
6,7.283,46.453
4,1.299,8.837
4,0.096,7.734
4,0.771,7.892
6,6.126,35.939
4,3.133,13.811
7,4.875,28.043
3,1.033,6.053
8,2.73,19.564
4,6.954,39.952
7,4.067,23.149
4,7.41,44.099
4,4.733,22.073
6,0.376,10.522
5,2.518,13.416
3,2.908,11.397
4,5.027,23.916
6,4.13,22.184
